,Abundance: 126,Abundance: 127N,Abundance: 127C,Abundance: 128N,Abundance: 128C,Abundance: 129N,Abundance: 129C,Abundance: 130N,Abundance: 130C,Abundance: 131N,Abundance: 131C,Abundance: 132C,p_value0Control_Mix1,fold_change0Control_Mix1,q_value0Control_Mix1,p_value0Control_Mix2,fold_change0Control_Mix2,q_value0Control_Mix2,p_value0Control_Mix3,fold_change0Control_Mix3,q_value0Control_Mix3
A0A024RBG1,16.72762139751273,12.168728394353757,19.439902214189363,19.17259874891515,15.167909523762905,17.62005777314868,16.312431402694465,19.403413268135807,20.3,15.51650451278152,18.466888364929186,19.283045706422996,0.5762786234443695,0.12428504162233726,0.9998111793759804,0.2920157311760615,0.23311010957862402,0.9999874507963832,0.46771034325423577,0.1605485438470756,0.9998602487567436
A0A087X1C5,196.62043117245895,167.74124063601485,158.8102247812714,148.5876403040924,190.7298096694221,163.92234742802572,167.58178074744836,167.01075549820538,174.4,149.1078000506331,149.2089900283715,154.74049023672774,0.679581148980767,-0.057699155402760084,0.9998111793759804,0.7198157302508349,-0.03391603673894217,0.9999874507963832,0.03194246050452655,-0.20180451144376862,0.2633414910937047
A0A0B4J2D5,1553.4715176664683,1496.2855644903443,1511.7202698215287,1449.6185449230159,1471.287223805002,1511.5777163851844,1484.715776797569,1503.803806445036,1485.4,1497.467149423359,1450.38767820141,1465.1940572979183,0.870816117779009,-0.04230613155110802,0.9998111793759804,0.8683445854385081,-0.04362522219999836,0.9999874507963832,0.9004827737044352,-0.03199537478684715,0.9998602487567436
A0A0B4J2F0,290.46522240257275,312.92353094095847,312.41606629260235,290.83595360249507,296.9717022547263,282.0006531385832,307.75488314967174,296.5501420534926,288.6,295.5603693825015,317.9252564985696,279.8025479870267,0.9853329244447694,-0.015251984161776692,0.9998111793759804,0.942343891488482,0.05895976787382029,0.9999874507963832,0.8845321496978094,0.1169171235946889,0.9998602487567436
A0A0U1RRE5,183.7203163659025,181.68847548800494,181.2349938708678,194.58641552830414,181.8153365282632,167.74932830183175,166.63338357287316,169.83878334295392,187.4,159.14789120596237,179.2935452519885,161.40623443154067,0.20395928386716033,-0.16300113828608873,0.9998111793759804,0.36838508175662055,-0.18349511590853937,0.9999874507963832,0.18985439299046825,-0.15076053027944808,0.9640973424763988
A0A1B0GTW7,23.390318055844073,21.34207749163582,26.7872668305759,23.26996864283653,26.41078982865734,23.918630461287798,25.32220456115943,25.059468957632884,25.6,24.892787988419553,25.749604903211115,22.457209608714848,0.6795502903110753,0.04552400474735929,0.9998111793759804,0.3278593643684562,0.0935810598786393,0.9999874507963832,0.7521795307646895,0.035432436956691404,0.9998602487567436
A0A1B0GUY1,66.4143273282603,69.92338546601735,68.03965774966278,70.73761231958613,66.99160039661949,66.97216529160583,77.0098505755111,70.07224548654713,65.1,66.7126718089644,70.57299121620825,69.83160585042073,0.9500148181248569,0.002124643217514155,0.9998111793759804,0.48720218308479346,0.05096608180643495,0.9999874507963832,0.5611329434163028,0.019103902225357555,0.9998602487567436
A0A1B0GVH7,39.26738243314429,50.07899762291738,35.5122623125349,44.91645110128911,27.209100856223806,57.16552680247784,31.581625913356145,46.26967779324693,40.0,31.779792665215627,52.366199870503415,41.740255315137844,0.9995230629173117,0.00020808088977908312,0.9998111793759804,0.6944344433699594,-0.0855672957874803,0.9999874507963832,0.9920029018563394,-0.0025564449794996946,0.9998602487567436
A0AUZ9,20.129849478362775,15.444924500525921,23.26665461855735,20.873393799222136,20.9556644736198,17.301142700331507,17.924706599472408,26.159257563923983,18.8,28.709682146643885,19.76737346105096,13.172780194511184,0.9116286765887185,0.021713263591643866,0.9998111793759804,0.6963189819472833,0.09509025673409004,0.9999874507963832,0.9656751862896876,0.015828474312913492,0.9998602487567436
A0AV96,44.08720554768186,47.27082953191267,40.56357548630065,45.689539760519565,44.17321019201127,47.119702008736965,40.306879919448534,43.284537290456804,43.6,48.70688849734093,45.1701823386296,51.580163412242584,0.546494833646159,0.0709908864439502,0.9998111793759804,0.8129250973214175,0.020913184473573314,0.9999874507963832,0.005185606378797474,0.24212394773622234,0.054115986473669754
A0AVF1,319.2424015864294,349.89774413918724,354.96955302917434,341.31864305024345,356.44587380842825,352.95925684040367,319.0408095271174,330.6435888485167,323.59999999999997,333.72931096474474,352.34476204259255,335.1123539844622,0.417481967923384,0.045189419130417706,0.9998111793759804,0.15562963510533923,-0.08447088429217249,0.8958336440785664,0.4112843550290577,0.05024400133183285,0.9998602487567436
A0AVT1,5048.055914961256,5163.753091342502,5070.676540931844,5028.787110562226,4972.213709278787,5175.752445518066,5107.592983675061,5167.199654000682,5039.1,5010.752270148934,5148.793893558918,5042.318066985721,0.9581492371441289,-0.007442461118923054,0.9998111793759804,0.987793830623099,0.0021743061719725083,0.9999874507963832,0.8492543198531339,0.026574615975826627,0.9998602487567436
A0FGR8,3411.371568817331,3155.9129062741295,3370.0677724307097,3291.9661287351005,3159.648521189119,3390.067224046524,3266.3747089546514,3403.9242927999717,3219.8,3333.3932395292604,3234.566531074076,3123.774050342968,0.7459037334226313,-0.02932712431882533,0.9998111793759804,0.5585430798837214,-0.0537432641128008,0.9999874507963832,0.496708333604034,-0.059958323231364755,0.9998602487567436
A0JLT2,119.85766009827978,120.65762231016916,121.23151617037777,112.79363538172257,116.48688410574054,115.68644266442865,118.17028795207736,119.24850745356339,121.9,122.3065649831014,123.89288015720095,119.5866250188455,0.19524891143014167,-0.11864368976503274,0.9998111793759804,0.6984636513447428,-0.04400580369790898,0.9999874507963832,0.8658451003000222,-0.014796915487853718,0.9998602487567436
A0JNW5,29.556856452384785,24.805484803874965,22.271698993421676,24.66152822945134,28.938774749284487,23.99835922949209,28.072556367427687,24.58813098350813,30.9,30.037297506026263,27.136789005741008,20.790773560011626,0.8749239318444724,0.022946068514525447,0.9998111793759804,0.3999184403786409,0.12845524969627142,0.9999874507963832,0.9281215174231618,0.017861622244732384,0.9998602487567436
A0JP26,168.7646887604992,90.70382933945223,183.22490512113913,138.61479660001962,127.99586808649046,106.59736308913928,113.52314179665859,137.23790679932492,149.2,233.826255171221,95.10881002970571,88.08304828859887,0.801745520725549,-0.39056456815895063,0.9998111793759804,0.9288040208719208,-0.1342184050298275,0.9999874507963832,0.8477535725372298,-0.29893158345091636,0.9998602487567436
A0MZ66,2897.280729850552,3008.016053481215,3123.6249175894113,2964.9496258806203,2848.041116762341,2758.0572784910955,2979.389723928178,2810.9811213510275,2923.6,2951.7038237068286,2944.211558613287,3023.8672415183314,0.48083774065429674,-0.09222721311965722,0.9998111793759804,0.8997107312541761,-0.01621431474716302,0.9999874507963832,0.9088010517395948,0.01436627352805502,0.9998602487567436
A0PJW6,296.5608810474291,283.34416038237555,305.45137691665263,274.83301835642476,274.75204532079294,267.64947486181046,319.1356492445749,288.066058519247,307.8,315.80650361308267,280.90478076230306,288.9282692061158,0.8033272940535705,-0.05794552543042906,0.9998111793759804,0.7136001977796087,0.08492933831873836,0.9999874507963832,0.917093403686898,-0.024585737022322734,0.9998602487567436
A0PJZ3,17.79081767277837,14.97689648535847,14.388589040423625,18.3995100896847,16.43190198407648,17.540329004944386,16.122751967779415,11.783449353118913,18.4,18.088759271584877,17.859995320072358,15.394694926115477,0.13791785571316653,0.1560153326626447,0.9998111793759804,0.8344872447273034,-0.04441031446626494,0.9999874507963832,0.296968854809906,0.12515393020531093,0.9998602487567436
A1A4S6,63.79177651593838,66.64718935984519,73.47364616386531,76.92232159342973,64.39708955702847,71.7558913838634,73.4059413121251,67.55844295788177,67.0,76.42085912444801,82.97094913256913,74.7515598989731,0.9251532016176967,-0.008123391675017888,0.9998111793759804,0.4947109789333126,-0.06788880301833025,0.9999874507963832,0.06780454667259948,0.14485448219306798,0.48021445525118417
A1A5C7,127.22915427345488,129.9245770104847,152.84049103045731,129.41504155517725,124.27041662451362,129.55924833197557,133.06012359290892,119.95551441475054,129.8,145.45685781233158,135.16375099025635,128.39492984770538,0.8691179124004184,-0.14086847145542367,0.9998111793759804,0.9363337516461605,-0.06575245667164505,0.9999874507963832,0.9865273513652931,-0.01418779391540174,0.9998602487567436
A1L020,213.0645335632342,194.9804711187606,217.97181695280045,188.55632398630664,210.35495576376448,220.05140024384772,198.59436835605936,230.7984946630891,202.20000000000002,205.44847686442267,177.12607009178558,179.4196145770469,0.9434786339021078,-0.009474196350178174,0.9998111793759804,0.6778752294217665,0.05261037931463872,0.9999874507963832,0.45954841859242357,-0.11910242450931524,0.9998602487567436
A1L0T0,2704.98396353084,2501.6097410700313,2630.9688130510776,2607.4734298524604,2653.9184852257617,2513.9277902495514,2607.807710929592,2496.677248938835,2625.099999999999,2640.9588536513916,2666.5146410880843,2512.826853249344,0.8936074422587881,-0.015191438579586042,0.9998111793759804,0.7368260755385518,-0.03866854779973294,0.9999874507963832,0.8318697182239223,0.024058553660619056,0.9998602487567436
A1L188,31.470609747862934,35.570129152726366,33.13967582182675,22.34226225175999,39.2502921886847,24.63618937512643,32.71970252284646,31.343975279296306,30.4,51.776999015912665,21.241256569988966,32.85259638872066,0.3097758452141355,-0.25999101488903253,0.9998111793759804,0.1616584089665184,-0.08360390454997813,0.9144736457033629,0.9729964455505441,-0.012680992353067447,0.9998602487567436
A1L190,131.69457862957057,163.62259410254126,151.7690003572343,133.20317598540643,141.83325923097593,125.09443731253518,157.52877069695063,125.14023213012285,149.1,142.96757901348963,140.799186406784,145.69412311519596,0.8144970386227528,-0.11843832477691023,0.9998111793759804,0.93338836070459,-0.043994677892576085,0.9999874507963832,0.957175375328188,-0.027515640785818068,0.9998602487567436
A1L390,191.58796880286823,204.90266504031052,212.5378285385979,228.67962540036697,199.51123097265327,210.6434055957412,202.10343790198786,200.08297001595915,205.3,219.55439005786047,223.68343653294502,192.1162701862143,0.2781294274428129,0.08629149105292415,0.9998111793759804,0.8972386345197123,-0.011411400716631943,0.9999874507963832,0.44410748013112744,0.061433984076235314,0.9998602487567436
A1X283,2820.1635600179516,2867.1396209158124,2914.2250260223964,2887.2542156279596,2750.6471713992314,2828.138865742669,2821.955792948686,2700.37381008975,2669.0000000000005,2685.5999201106233,2710.817833362633,2648.3636518772064,0.7408579992307995,-0.03302606700585143,0.9998111793759804,0.242174728735152,-0.11902576303818661,0.9999874507963832,0.32578979878954295,-0.09866675661021788,0.9998602487567436
A2RRP1,1570.2700188156653,1533.2597776885736,1596.444568054236,1566.4322413327368,1539.5428166619347,1548.5718648319762,1589.32398515322,1580.7104525563914,1505.6,1631.2243968811333,1519.400087302272,1484.2390407116698,0.8548838657020734,-0.014433097555100728,0.9998111793759804,0.8839151239042371,-0.011969508031542944,0.9999874507963832,0.7173891285063612,-0.028832790431030098,0.9998602487567436
A2RU67,128.71762905882676,134.8856739712597,132.9413785277438,127.6369376389472,139.17222247242103,134.26324565602886,132.49108528816376,133.46720300632688,125.8,143.88031457306502,133.94996490054268,127.44268067701782,0.7032617180154348,0.01574820271232132,0.9998111793759804,0.5959804616807585,-0.01774150742556735,0.9999874507963832,0.5838718519905661,0.029891644779754145,0.9998602487567436
A2RUC4,35.08547708376611,44.275450234840974,48.21708029503662,42.36525852582864,43.04226956962543,38.827910115490525,48.178576468423195,43.284537290456804,46.7,47.13034525807435,35.89338865296095,38.804153705517884,0.7863155907276986,-0.028858148598689144,0.9998111793759804,0.16555052407132576,0.13446800232208092,0.9240368886098321,0.5759592946553281,-0.06422470675198377,0.9998602487567436
A2RUS2,299.89222937659474,273.4219664608255,282.33779239426997,307.4573597759497,289.6538511687003,280.72499284731447,299.9780263181546,294.2720085118896,289.79999999999995,323.6062438494542,292.17565159535843,273.9303447677868,0.7185922260709354,0.04090339857372375,0.9998111793759804,0.3671438821800983,0.10637539227234581,0.9999874507963832,0.38162803787678223,0.10213740573598076,0.9998602487567436
A2VDF0,44.866882816209994,37.34863561036269,37.0429632742821,43.834126978366484,42.90921773169769,40.90085808880213,40.97075794165122,29.537179711818073,43.5,48.54093657741813,39.44804791569379,43.32733726628377,0.03533775047511716,0.3463762761506991,0.4018705153518138,0.85421427721606,0.04413816202204403,0.9999874507963832,0.475548286815773,0.10189310132712526,0.9998602487567436
A3KMH1,3553.556350696191,3581.818400076511,3657.5334130468336,3602.283916550202,3564.2591603273904,3548.4085577002493,3601.6331101670075,3585.467969167022,3462.8000000000006,3653.5144930603383,3649.3345777305126,3479.4391155947706,0.9736286567473307,0.003510581170268181,0.9998111793759804,0.9593001008258589,0.0053879707165485295,0.9999874507963832,0.8747690377181319,0.016980532550222506,0.9998602487567436
A3KN83,1604.717578134272,1623.3083678067908,1709.9460443677908,1677.988934859691,1657.1606413900613,1633.6424605059565,1669.8429052746596,1665.9440695439516,1684.1999999999998,1687.7310256148457,1746.1179890595015,1639.77307192397,0.9913222345760949,0.0016360061498491127,0.9998111793759804,0.8936087406332452,-0.020297495880527712,0.9999874507963832,0.8671845409132339,0.02513407024665255,0.9998602487567436
A4D1E9,1764.5514181825401,1749.0206926807684,1808.7527914485718,1769.5226321125758,1843.4332144889038,1783.6920022664353,1845.3912222885403,1748.8209966608886,1813.9999999999998,1825.7200470306511,1767.5326436423065,1709.92209416462,0.9966445201827857,-0.0006874752043093786,0.9998111793759804,0.8194065375161576,-0.039091090203229886,0.9999874507963832,0.8831567303688812,-0.02394523252620153,0.9998602487567436
A4D1P6,396.50133092239923,405.593077944114,408.5440866903261,408.9639007329078,380.6613083112777,402.7100081998822,384.10085570298014,393.0958704200469,389.9,430.31332835981266,398.8154294773438,405.3407303226694,0.41971132627954644,-0.04776771369633641,0.9998111793759804,0.37019407780694413,-0.055476957596167185,0.9999874507963832,0.5570487195680286,0.034393536824394194,0.9998602487567436
A4FU01,57.90875712613517,50.827842447185304,52.65611308410348,64.47559417981948,61.070793608834855,57.723628179907884,50.64440912231887,59.46714106874011,49.7,55.34496529425281,54.62037403711449,64.75294360675377,0.05118009176276615,0.22415032712282504,0.5290600150832501,0.6107061807862009,0.0691298847823454,0.9999874507963832,0.3461421133717477,0.11652760565688043,0.9998602487567436
A5D8V6,133.60833192504873,143.68460065640784,134.16593929714156,137.9190168067122,125.20177949000782,125.17416608073948,121.86903693292086,125.37590111718524,141.9,124.46393994209775,133.77656688772643,123.63368399426761,0.7027343584952359,-0.11825386192164362,0.9998111793759804,0.978896762791961,0.0075988182132978865,0.9999874507963832,0.9326456059089574,-0.02569626226940508,0.9998602487567436
A5PLL7,121.06261587691415,121.96810075263802,140.5948833364798,129.26042382333117,120.94412067632,130.75517985503996,123.48131212969881,114.37801505427424,123.5,129.19356965989746,124.673171214874,121.17370696999143,0.35294129091234105,0.12172567039065911,0.9998111793759804,0.9416074285052384,-0.013507879720535246,0.9999874507963832,0.2354181437751347,0.22947544226239258,0.9998602487567436
