,Abundance: 126,Abundance: 127N,Abundance: 127C,Abundance: 128N,Abundance: 128C,Abundance: 129N,Abundance: 129C,Abundance: 130N,Abundance: 130C,Abundance: 131N,Abundance: 131C,Abundance: 132C,p_value0Control_Mix2,fold_change0Control_Mix2,q_value0Control_Mix2,Gene_Symbol,Protein_Name,Organism,Mass
A0A024RBG1,16.72762139751273,12.168728394353757,19.439902214189363,19.17259874891515,15.167909523762905,17.62005777314868,16.312431402694465,19.403413268135807,20.3,15.51650451278152,18.466888364929186,19.283045706422996,0.2920157311760615,0.23311010957862402,0.9999874507963832,NUDT4B,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B (DIPP-2B) (EC 3.6.1.52) (Nucleoside diphosphate-linked moiety X motif 4B) (Nudix motif 4B) (Nudix hydrolase 4B),Homo sapiens (Human),"20,434"
A0A087X1C5,196.62043117245895,167.74124063601485,158.8102247812714,148.5876403040924,190.7298096694221,163.92234742802572,167.58178074744836,167.01075549820538,174.4,149.1078000506331,149.2089900283715,154.74049023672774,0.7198157302508349,-0.03391603673894217,0.9999874507963832,CYP2D7,Putative cytochrome P450 2D7 (EC 1.14.14.1),Homo sapiens (Human),"57,489"
A0A0B4J2D5,1553.4715176664683,1496.2855644903443,1511.7202698215287,1449.6185449230159,1471.287223805002,1511.5777163851844,1484.715776797569,1503.803806445036,1485.4,1497.467149423359,1450.38767820141,1465.1940572979183,0.8683445854385081,-0.04362522219999836,0.9999874507963832,GATD3B,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial (Keio novel protein-I) (KNP-I) (Protein GT335) (Protein HES1)",Homo sapiens (Human),"28,142"
A0A0B4J2F0,290.46522240257275,312.92353094095847,312.41606629260235,290.83595360249507,296.9717022547263,282.0006531385832,307.75488314967174,296.5501420534926,288.6,295.5603693825015,317.9252564985696,279.8025479870267,0.942343891488482,0.05895976787382029,0.9999874507963832,PIGBOS1,Protein PIGBOS1 (PIGB opposite strand protein 1),Homo sapiens (Human),"6,313"
A0A0U1RRE5,183.7203163659025,181.68847548800494,181.2349938708678,194.58641552830414,181.8153365282632,167.74932830183175,166.63338357287316,169.83878334295392,187.4,159.14789120596237,179.2935452519885,161.40623443154067,0.36838508175662055,-0.18349511590853937,0.9999874507963832,NBDY,Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody),Homo sapiens (Human),"7,025"
A0A1B0GTW7,23.390318055844073,21.34207749163582,26.7872668305759,23.26996864283653,26.41078982865734,23.918630461287798,25.32220456115943,25.059468957632884,25.6,24.892787988419553,25.749604903211115,22.457209608714848,0.3278593643684562,0.0935810598786393,0.9999874507963832,LMLN2,Leishmanolysin-like peptidase 2 (EC 3.4.24.-),Homo sapiens (Human),"85,397"
A0A1B0GUY1,66.4143273282603,69.92338546601735,68.03965774966278,70.73761231958613,66.99160039661949,66.97216529160583,77.0098505755111,70.07224548654713,65.1,66.7126718089644,70.57299121620825,69.83160585042073,0.48720218308479346,0.05096608180643495,0.9999874507963832,MARCOL,MARCO-like protein,Homo sapiens (Human),"29,775"
A0A1B0GVH7,39.26738243314429,50.07899762291738,35.5122623125349,44.91645110128911,27.209100856223806,57.16552680247784,31.581625913356145,46.26967779324693,40.0,31.779792665215627,52.366199870503415,41.740255315137844,0.6944344433699594,-0.0855672957874803,0.9999874507963832,IQCM,IQ domain-containing protein M,Homo sapiens (Human),"59,586"
A0AUZ9,20.129849478362775,15.444924500525921,23.26665461855735,20.873393799222136,20.9556644736198,17.301142700331507,17.924706599472408,26.159257563923983,18.8,28.709682146643885,19.76737346105096,13.172780194511184,0.6963189819472833,0.09509025673409004,0.9999874507963832,KANSL1L,KAT8 regulatory NSL complex subunit 1-like protein (MSL1v2),Homo sapiens (Human),"112,253"
A0AV96,44.08720554768186,47.27082953191267,40.56357548630065,45.689539760519565,44.17321019201127,47.119702008736965,40.306879919448534,43.284537290456804,43.6,48.70688849734093,45.1701823386296,51.580163412242584,0.8129250973214175,0.020913184473573314,0.9999874507963832,RBM47,RNA-binding protein 47 (RNA-binding motif protein 47),Homo sapiens (Human),"64,099"
A0AVF1,319.2424015864294,349.89774413918724,354.96955302917434,341.31864305024345,356.44587380842825,352.95925684040367,319.0408095271174,330.6435888485167,323.59999999999997,333.72931096474474,352.34476204259255,335.1123539844622,0.15562963510533923,-0.08447088429217249,0.8958336440785664,TTC26,Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26),Homo sapiens (Human),"64,178"
A0AVT1,5048.055914961256,5163.753091342502,5070.676540931844,5028.787110562226,4972.213709278787,5175.752445518066,5107.592983675061,5167.199654000682,5039.1,5010.752270148934,5148.793893558918,5042.318066985721,0.987793830623099,0.0021743061719725083,0.9999874507963832,UBA6,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),Homo sapiens (Human),"117,970"
A0FGR8,3411.371568817331,3155.9129062741295,3370.0677724307097,3291.9661287351005,3159.648521189119,3390.067224046524,3266.3747089546514,3403.9242927999717,3219.8,3333.3932395292604,3234.566531074076,3123.774050342968,0.5585430798837214,-0.0537432641128008,0.9999874507963832,ESYT2,Extended synaptotagmin-2 (E-Syt2) (Chr2Syt),Homo sapiens (Human),"102,357"
A0JLT2,119.85766009827978,120.65762231016916,121.23151617037777,112.79363538172257,116.48688410574054,115.68644266442865,118.17028795207736,119.24850745356339,121.9,122.3065649831014,123.89288015720095,119.5866250188455,0.6984636513447428,-0.04400580369790898,0.9999874507963832,MED19,Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19),Homo sapiens (Human),"26,273"
A0JNW5,29.556856452384785,24.805484803874965,22.271698993421676,24.66152822945134,28.938774749284487,23.99835922949209,28.072556367427687,24.58813098350813,30.9,30.037297506026263,27.136789005741008,20.790773560011626,0.3999184403786409,0.12845524969627142,0.9999874507963832,UHRF1BP1L,UHRF1-binding protein 1-like (Syntaxin-6 Habc-interacting protein of 164 kDa),Homo sapiens (Human),"164,199"
A0JP26,168.7646887604992,90.70382933945223,183.22490512113913,138.61479660001962,127.99586808649046,106.59736308913928,113.52314179665859,137.23790679932492,149.2,233.826255171221,95.10881002970571,88.08304828859887,0.9288040208719208,-0.1342184050298275,0.9999874507963832,POTEB3,POTE ankyrin domain family member B3,Homo sapiens (Human),"65,710"
A0MZ66,2897.280729850552,3008.016053481215,3123.6249175894113,2964.9496258806203,2848.041116762341,2758.0572784910955,2979.389723928178,2810.9811213510275,2923.6,2951.7038237068286,2944.211558613287,3023.8672415183314,0.8997107312541761,-0.01621431474716302,0.9999874507963832,SHTN1,Shootin-1 (Shootin1),Homo sapiens (Human),"71,640"
