,Abundance: 126,Abundance: 127N,Abundance: 127C,Abundance: 128N,Abundance: 128C,Abundance: 129N,Abundance: 129C,Abundance: 130N,Abundance: 130C,Abundance: 131N,p_value_Mock_vs_Infected,fold_change_Mock_vs_Infected,q_value_Mock_vs_Infected
A0A087WRR7,423.0,487.7013382121753,442.9203078330259,275.33057236557886,403.86569331340877,392.8958617361278,467.48046849895786,427.50733349404203,459.94161209554215,428.9981665864573,0.28267963455754264,-0.11866650456803499,0.9955083543667829
A0A1D5RLM8,37.8,42.39357896815604,37.22082074918826,28.928428493293204,21.32735849014648,31.344380789855183,21.355603514697957,36.065743983436654,24.654910814733313,32.98757080621986,0.4233827186963893,0.18125737070468534,0.9955083543667829
A0A1L1SU27,10.5,9.985264467706175,13.127984873461193,13.068842989911284,11.171473494838633,10.216681080237608,10.812963804910359,14.260304629434158,10.48542184074865,7.34832085755987,0.3984401718059257,0.1454586812677606,0.9955083543667829
A0A338P6K9,890.0,863.024656143061,860.3305541505761,851.516801061407,910.3058250794268,923.2705582024432,902.7022616465997,918.8465067579322,954.9290935867397,938.2687512364762,0.021344833562871608,-0.08892800464618297,0.26927328494699565
A0A494B9V8,622.0,562.0652814848293,582.7035104061298,606.9524632345776,643.5445792026741,579.2758981416274,536.8636529137993,592.5194299203516,530.6001304458123,605.038374956696,0.3321396904301095,0.06857945660511613,0.9955083543667829
A1L3P4,15.9,18.04354807322344,13.277166519750525,17.561257767693288,16.16478361753166,16.763292257865587,16.57987783419588,17.731066602735595,15.775364391036257,15.974610559912763,0.6306273393486219,-0.03995296380980769,0.9955083543667829
A2A654,3093.0,3138.789054388165,3108.423372907661,3004.472549868146,3152.386702543556,3230.058278610266,3140.6253371362136,2981.3090837186874,3150.6331049954033,3248.3571843054606,0.43291370169186894,-0.02645668958154736,0.9955083543667829
A2AIV2,1253.6000000000001,1274.6102502987742,1257.0045516339092,1231.8745855802833,1248.2428982982956,1310.1157641531877,1291.69863452825,1271.2042983952736,1311.6223626918468,1291.8667559801452,0.12527794490109165,-0.03828931353523036,0.8416871212678965
A2AJ15,382.8,372.69561675517355,352.4416393585462,354.0839647579088,301.4605196107213,387.4403524214378,326.1009667497549,376.27586871422295,343.37394946956164,374.0455062603574,0.8705052904508295,-0.006945763817649936,0.9955083543667829
A2AMM0,867.8,854.0028821064492,825.4220489188725,897.3938853072415,949.9984089360883,901.845285257479,847.4660382098493,843.6215135539859,849.7914853997734,871.2552599376422,0.8737527067512365,0.013437689636608746,0.9955083543667829
A2AS55,39.0,32.32072446125946,31.77569065962766,33.82924461450994,36.39192123318646,38.58532951662553,37.5750492220635,41.12098424889744,36.746208072533555,31.31023669742902,0.26561381826245434,-0.09523713815959844,0.9955083543667829
A2AWL7,206.6,216.87293703544287,204.22967377009513,228.77281921401993,226.89939727016952,238.55454366962567,213.73625121039476,199.87061885381527,219.62707909676223,220.60937183239528,0.39379635607124497,-0.053774943972868694,0.9955083543667829
